key,target_states,quantum_circuit,num_qubits,depth
b825c8a3,['00'],"global phase: π
        ┌───┐┌───┐ 1-Z ┌───┐┌───┐┌───┐          ┌───┐┌───┐      ░ ┌─┐   
   q_0: ┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├┤ H ├──────░─┤M├───
        ├───┤├───┤  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤├───┤┌───┐ ░ └╥┘┌─┐
   q_1: ┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├─░──╫─┤M├
        └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘ ░  ║ └╥┘
meas: 2/═══════════════════════════════════════════════════════════╩══╩═
                                                                   0  1 ",2,12
28e6b1bb,['111'],"        ┌───┐ 1-Z ┌───┐┌───┐          ┌───┐┌───┐      1-Z ┌───┐┌───┐          »
   q_0: ┤ H ├──■──┤ H ├┤ X ├───────■──┤ X ├┤ H ├───────■──┤ H ├┤ X ├───────■──»
        ├───┤  │  ├───┤├───┤       │  ├───┤├───┤       │  ├───┤├───┤       │  »
   q_1: ┤ H ├──■──┤ H ├┤ X ├───────■──┤ X ├┤ H ├───────■──┤ H ├┤ X ├───────■──»
        ├───┤  │  ├───┤├───┤┌───┐┌─┴─┐├───┤├───┤┌───┐  │  ├───┤├───┤┌───┐┌─┴─┐»
   q_2: ┤ H ├──■──┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├──■──┤ H ├┤ X ├┤ H ├┤ X ├»
        └───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘     └───┘└───┘└───┘└───┘»
meas: 3/══════════════════════════════════════════════════════════════════════»
                                                                              »
«        ┌───┐┌───┐      ░ ┌─┐      
«   q_0: ┤ X ├┤ H ├──────░─┤M├──────
«        ├───┤├───┤      ░ └╥┘┌─┐   
«   q_1: ┤ X ├┤ H ├──────░──╫─┤M├───
«        ├───┤├───┤┌───┐ ░  ║ └╥┘┌─┐
«   q_2: ┤ H ├┤ X ├┤ H ├─░──╫──╫─┤M├
«        └───┘└───┘└───┘ ░  ║  ║ └╥┘
«meas: 3/═══════════════════╩══╩══╩═
«                           0  1  2 ",3,18
c2b53645,['1000'],"global phase: π
        ┌───┐┌───┐ 1-Z ┌───┐┌───┐┌───┐     ┌───┐┌───┐┌───┐ 1-Z ┌───┐┌───┐┌───┐»
   q_0: ┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├»
        ├───┤├───┤  │  ├───┤├───┤├───┤  │  ├───┤├───┤├───┤  │  ├───┤├───┤├───┤»
   q_1: ┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├»
        ├───┤├───┤  │  ├───┤├───┤├───┤  │  ├───┤├───┤├───┤  │  ├───┤├───┤├───┤»
   q_2: ┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├»
        ├───┤└───┘  │  ├───┤├───┤├───┤┌─┴─┐├───┤├───┤├───┤  │  ├───┤├───┤├───┤»
   q_3: ┤ H ├───────■──┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├──■──┤ H ├┤ X ├┤ H ├»
        └───┘          └───┘└───┘└───┘└───┘└───┘└───┘└───┘     └───┘└───┘└───┘»
meas: 4/══════════════════════════════════════════════════════════════════════»
                                                                              »
«             ┌───┐┌───┐┌───┐ 1-Z ┌───┐┌───┐┌───┐     ┌───┐┌───┐      ░ ┌─┐   »
«   q_0: ──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├──────░─┤M├───»
«          │  ├───┤├───┤├───┤  │  ├───┤├───┤├───┤  │  ├───┤├───┤      ░ └╥┘┌─┐»
«   q_1: ──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├──────░──╫─┤M├»
«          │  ├───┤├───┤├───┤  │  ├───┤├───┤├───┤  │  ├───┤├───┤      ░  ║ └╥┘»
«   q_2: ──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├┤ X ├──■──┤ X ├┤ H ├──────░──╫──╫─»
«        ┌─┴─┐├───┤├───┤├───┤  │  ├───┤├───┤├───┤┌─┴─┐├───┤├───┤┌───┐ ░  ║  ║ »
«   q_3: ┤ X ├┤ H ├┤ X ├┤ H ├──■──┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├─░──╫──╫─»
«        └───┘└───┘└───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘ ░  ║  ║ »
«meas: 4/════════════════════════════════════════════════════════════════╩══╩═»
«                                                                        0  1 »
«              
«   q_0: ──────
«              
«   q_1: ──────
«        ┌─┐   
«   q_2: ┤M├───
«        └╥┘┌─┐
«   q_3: ─╫─┤M├
«         ║ └╥┘
«meas: 4/═╩══╩═
«         2  3 ",4,27
4910be1d,"['11101', '01011', '00011']","        ┌───┐      1-Z       1-Z            1-Z ┌───┐┌───┐               ┌───┐»
   q_0: ┤ H ├───────■─────────■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├»
        ├───┤┌───┐  │  ┌───┐  │              │  ├───┤├───┤            │  ├───┤»
   q_1: ┤ H ├┤ X ├──■──┤ X ├──■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├»
        ├───┤└───┘  │  ├───┤  │  ┌───┐┌───┐  │  ├───┤├───┤┌───┐       │  ├───┤»
   q_2: ┤ H ├───────■──┤ X ├──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├»
        ├───┤       │  └───┘  │  ├───┤└───┘  │  ├───┤├───┤├───┤       │  ├───┤»
   q_3: ┤ H ├───────■─────────■──┤ X ├───────■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├»
        ├───┤       │  ┌───┐  │  ├───┤┌───┐  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤»
   q_4: ┤ H ├───────■──┤ X ├──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├»
        └───┘          └───┘     └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘»
meas: 5/══════════════════════════════════════════════════════════════════════»
                                                                              »
«        ┌───┐      1-Z       1-Z            1-Z ┌───┐┌───┐               ┌───┐»
«   q_0: ┤ H ├───────■─────────■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├»
«        ├───┤┌───┐  │  ┌───┐  │              │  ├───┤├───┤            │  ├───┤»
«   q_1: ┤ H ├┤ X ├──■──┤ X ├──■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├»
«        ├───┤└───┘  │  ├───┤  │  ┌───┐┌───┐  │  ├───┤├───┤┌───┐       │  ├───┤»
«   q_2: ┤ H ├───────■──┤ X ├──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├»
«        ├───┤       │  └───┘  │  ├───┤└───┘  │  ├───┤├───┤├───┤       │  ├───┤»
«   q_3: ┤ H ├───────■─────────■──┤ X ├───────■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├»
«        ├───┤┌───┐  │  ┌───┐  │  ├───┤┌───┐  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤»
«   q_4: ┤ X ├┤ H ├──■──┤ X ├──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├»
«        └───┘└───┘     └───┘     └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘»
«meas: 5/══════════════════════════════════════════════════════════════════════»
«                                                                              »
«        ┌───┐      ░ ┌─┐            
«   q_0: ┤ H ├──────░─┤M├────────────
«        ├───┤      ░ └╥┘┌─┐         
«   q_1: ┤ H ├──────░──╫─┤M├─────────
«        ├───┤      ░  ║ └╥┘┌─┐      
«   q_2: ┤ H ├──────░──╫──╫─┤M├──────
«        ├───┤      ░  ║  ║ └╥┘┌─┐   
«   q_3: ┤ H ├──────░──╫──╫──╫─┤M├───
«        ├───┤┌───┐ ░  ║  ║  ║ └╥┘┌─┐
«   q_4: ┤ X ├┤ H ├─░──╫──╫──╫──╫─┤M├
«        └───┘└───┘ ░  ║  ║  ║  ║ └╥┘
«meas: 5/══════════════╩══╩══╩══╩══╩═
«                      0  1  2  3  4 ",5,31
52df6f37,"['011001', '001111']","        ┌───┐      1-Z            1-Z ┌───┐┌───┐               ┌───┐┌───┐     »
   q_0: ┤ H ├───────■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├─────»
        ├───┤┌───┐  │  ┌───┐       │  ├───┤├───┤            │  ├───┤├───┤┌───┐»
   q_1: ┤ H ├┤ X ├──■──┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├┤ X ├»
        ├───┤├───┤  │  ├───┤       │  ├───┤├───┤            │  ├───┤├───┤├───┤»
   q_2: ┤ H ├┤ X ├──■──┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├┤ X ├»
        ├───┤└───┘  │  └───┘       │  ├───┤├───┤            │  ├───┤├───┤└───┘»
   q_3: ┤ H ├───────■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├─────»
        ├───┤       │  ┌───┐       │  ├───┤├───┤┌───┐       │  ├───┤├───┤     »
   q_4: ┤ H ├───────■──┤ X ├───────■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├┤ H ├─────»
        ├───┤┌───┐  │  ├───┤┌───┐  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤├───┤┌───┐»
   q_5: ┤ H ├┤ X ├──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├»
        └───┘└───┘     └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘»
meas: 6/══════════════════════════════════════════════════════════════════════»
                                                                              »
«              1-Z            1-Z ┌───┐┌───┐               ┌───┐┌───┐          »
«   q_0: ───────■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├──────────»
«               │  ┌───┐       │  ├───┤├───┤            │  ├───┤├───┤┌───┐     »
«   q_1: ───────■──┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├┤ X ├─────»
«               │  ├───┤       │  ├───┤├───┤            │  ├───┤├───┤├───┤     »
«   q_2: ───────■──┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├┤ X ├─────»
«               │  └───┘       │  ├───┤├───┤            │  ├───┤├───┤└───┘     »
«   q_3: ───────■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├──────────»
«               │  ┌───┐       │  ├───┤├───┤┌───┐       │  ├───┤├───┤          »
«   q_4: ───────■──┤ X ├───────■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├┤ H ├──────────»
«        ┌───┐  │  ├───┤┌───┐  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤├───┤┌───┐┌───┐»
«   q_5: ┤ X ├──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├»
«        └───┘     └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘»
«meas: 6/══════════════════════════════════════════════════════════════════════»
«                                                                              »
«         1-Z            1-Z ┌───┐┌───┐               ┌───┐┌───┐           1-Z »
«   q_0: ──■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├────────────■──»
«          │  ┌───┐       │  ├───┤├───┤            │  ├───┤├───┤┌───┐       │  »
«   q_1: ──■──┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├┤ X ├───────■──»
«          │  ├───┤       │  ├───┤├───┤            │  ├───┤├───┤├───┤       │  »
«   q_2: ──■──┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├┤ X ├───────■──»
«          │  └───┘       │  ├───┤├───┤            │  ├───┤├───┤└───┘       │  »
«   q_3: ──■──────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├────────────■──»
«          │  ┌───┐       │  ├───┤├───┤┌───┐       │  ├───┤├───┤            │  »
«   q_4: ──■──┤ X ├───────■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├┤ H ├────────────■──»
«          │  ├───┤┌───┐  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤├───┤┌───┐┌───┐  │  »
«   q_5: ──■──┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├──■──»
«             └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘     »
«meas: 6/══════════════════════════════════════════════════════════════════════»
«                                                                              »
«                   1-Z ┌───┐┌───┐               ┌───┐┌───┐      ░ ┌─┐         »
«   q_0: ────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├──────░─┤M├─────────»
«        ┌───┐       │  ├───┤├───┤            │  ├───┤├───┤      ░ └╥┘┌─┐      »
«   q_1: ┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├──────░──╫─┤M├──────»
«        ├───┤       │  ├───┤├───┤            │  ├───┤├───┤      ░  ║ └╥┘┌─┐   »
«   q_2: ┤ X ├───────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├──────░──╫──╫─┤M├───»
«        └───┘       │  ├───┤├───┤            │  ├───┤├───┤      ░  ║  ║ └╥┘┌─┐»
«   q_3: ────────────■──┤ H ├┤ X ├────────────■──┤ X ├┤ H ├──────░──╫──╫──╫─┤M├»
«        ┌───┐       │  ├───┤├───┤┌───┐       │  ├───┤├───┤      ░  ║  ║  ║ └╥┘»
«   q_4: ┤ X ├───────■──┤ X ├┤ H ├┤ X ├───────■──┤ X ├┤ H ├──────░──╫──╫──╫──╫─»
«        ├───┤┌───┐  │  ├───┤├───┤├───┤┌───┐┌─┴─┐├───┤├───┤┌───┐ ░  ║  ║  ║  ║ »
«   q_5: ┤ X ├┤ X ├──■──┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├┤ X ├┤ H ├─░──╫──╫──╫──╫─»
«        └───┘└───┘     └───┘└───┘└───┘└───┘└───┘└───┘└───┘└───┘ ░  ║  ║  ║  ║ »
«meas: 6/═══════════════════════════════════════════════════════════╩══╩══╩══╩═»
«                                                                   0  1  2  3 »
«              
«   q_0: ──────
«              
«   q_1: ──────
«              
«   q_2: ──────
«              
«   q_3: ──────
«        ┌─┐   
«   q_4: ┤M├───
«        └╥┘┌─┐
«   q_5: ─╫─┤M├
«         ║ └╥┘
«meas: 6/═╩══╩═
«         4  5 ",6,54
